ZONERING;ECOTOOP;eco_code;VEG_STRUCT;STRUCT_COD;systeem;mech_dyn_o_gering dynamisch;mech_dyn_o_matig dynamisch;mech_dyn_o_sterk dynamisch;mech_dyn_o_onbekend;mech_dyn_o_NA;hydrologie_oever - supralittoraal of overstromingsvrij;hydrologie_oever - vochtig of overstromingsvrij;hydrologie_oever - vochtig;hydrologie_oever - drassig;hydrologie_oever - nat;hydrologie_oever - supralittoraal;hydrologie_oever -supralitoraal;hydrologie_overstromingsvrij;hydrologie_vochtig of overstromingsvrij;hydrologie_supralittoraal of overstromingsvrij;hydrologie_supralittoraal;hydrologie_vochtig;hydrologie_drassig;hydrologie_ondiep;hydrologie_matig diep;hydrologie_diep;hydrologie_zeer diep;hydrologie_onbekend;zout_cat_zoet;zout_cat_zwak brak;zout_cat_brak;zout_cat_zout;zout_cat_NA;zout_cat_onbekend;beheer_nauwelijks tot geen beheer;beheer_extensief beheer;beheer_intensief beheer;beheer_kunstmatig hard substraat;beheer_onbekend;beheer_water
Oevers;Matig tot sterk dynamisch hard substraat onder invloed van zoet of brak water;iii.2-4;bebouwd/verhard;bebverh;g;;x;x;;;;;;;x;;;;;;;x;x;;;;;;x;x;x;;;;;;;x;;
Oevers;Matig tot sterk dynamisch hard substraat onder invloed van zoet of brak water;iii.2-4;bebouwd/verhard;bebverh;m;;x;x;;;;;;;x;;;;;;;x;x;;;;;;x;x;x;;;;;;;x;;
Oevers;Matig tot sterk dynamisch hard substraat onder invloed van zoet of brak water/overstromingsvrij bebouwd;iii.2-4;bebouwd/verhard;bebverh;r;;;;x;;;;;;x;;;;x;;;;x;;;;;;;;;;;x;;;;x;;
Oevers;Matig tot sterk dynamisch hard substraat onder invloed van zoet of brak water/overstromingsvrij bebouwd;iii.2-4;bebouwd/verhard;bebverh;g;;;;x;;;;;;x;;;;x;;;;x;;;;;;;;;;;x;;;;x;;
Oevers;Matig tot sterk dynamisch hard substraat onder invloed van zoet of brak water/overstromingsvrij bebouwd;iii.2-4;bebouwd/verhard;bebverh;m;;;;x;;;;;;x;;;;x;;;;x;;;;;;;;;;;x;;;;x;;
Oevers;Matig tot sterk dynamisch hard substraat onder invloed van zoet of brak water/overstromingsvrij bebouwd;ha-2;bebouwd/verhard;bebverh;r;;;;x;;;;;;x;;;;x;;;;x;;;;;;;;;;;x;;;;x;;
Oevers;Matig tot sterk dynamisch hard substraat onder invloed van zoet of brak water/overstromingsvrij bebouwd;ha-2;bebouwd/verhard;bebverh;g;;;;x;;;;;;x;;;;x;;;;x;;;;;;;;;;;x;;;;x;;
Oevers;Matig tot sterk dynamisch hard substraat onder invloed van zoet of brak water/overstromingsvrij bebouwd;ha-2;bebouwd/verhard;bebverh;m;;;;x;;;;;;x;;;;x;;;;x;;;;;;;;;;;x;;;;x;;
Oevers;Moerasplanten en helofytenzone;iv.1-2-6-8-9;riet en overige helofyten;riet;m;x;x;;;;;;;;x;;;;;;;;x;;;;;;;;;;x;;x;x;x;;;
Oevers;Moerasruigte in oever;v.1-2;ruigte;ruigte;r;x;x;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Moerasruigte in oever;v.1-2;ruigte;ruigte;g;x;x;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Moerasruigte in oever;v.1-2;ruigte;ruigte;m;x;x;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Moerasruigte/gorsruigte in oever;v.1-2-3-4;ruigte;ruigte;r;x;x;;;;;;x;;;;;;;;;;;;;;;;x;x;x;;;;x;x;;;;
Oevers;Moerasruigte/gorsruigte in oever;v.1-2-3-4;ruigte;ruigte;g;x;x;;;;;;x;;;;;;;;;;;;;;;;x;x;x;;;;x;x;;;;
Oevers;Moerasruigte/gorsruigte in oever;v.1-2-3-4;ruigte;ruigte;m;x;x;;;;;;x;;;;;;;;;;;;;;;;x;x;x;;;;x;x;;;;
